airport_code,latitude,longitude,altitude,timezone,dst,olson_timezone
GKA,-6.081689,145.391881,5282,10.0,U,Pacific/Port_Moresby
MAG,-5.207083,145.7887,20,10.0,U,Pacific/Port_Moresby
HGU,-5.826789,144.295861,5388,10.0,U,Pacific/Port_Moresby
LAE,-6.569828,146.726242,239,10.0,U,Pacific/Port_Moresby
POM,-9.443383,147.22005,146,10.0,U,Pacific/Port_Moresby
WWK,-3.583828,143.669186,19,10.0,U,Pacific/Port_Moresby
UAK,61.160517,-45.425978,112,-3.0,E,America/Godthab
GOH,64.190922,-51.678064,283,-3.0,E,America/Godthab
SFJ,67.016969,-50.689325,165,-3.0,E,America/Godthab
THU,76.531203,-68.703161,251,-4.0,E,America/Thule
AEY,65.659994,-18.072703,6,0.0,N,Atlantic/Reykjavik
EGS,65.283333,-14.401389,76,0.0,N,Atlantic/Reykjavik
HFN,64.295556,-15.227222,24,0.0,N,Atlantic/Reykjavik
HZK,65.952328,-17.425978,48,0.0,N,Atlantic/Reykjavik
IFJ,66.058056,-23.135278,8,0.0,N,Atlantic/Reykjavik
KEF,63.985,-22.605556,171,0.0,N,Atlantic/Reykjavik
PFJ,65.555833,-23.965,11,0.0,N,Atlantic/Reykjavik
RKV,64.13,-21.940556,48,0.0,N,Atlantic/Reykjavik
SIJ,66.133333,-18.916667,10,0.0,N,Atlantic/Reykjavik
VEY,63.424303,-20.278875,326,0.0,N,Atlantic/Reykjavik
YAM,46.485001,-84.509445,630,-5.0,A,America/Toronto
YAV,50.056389,-97.0325,760,-6.0,A,America/Winnipeg
YAW,44.639721,-63.499444,167,-4.0,A,America/Halifax
YAY,51.391944,-56.083056,108,-3.5,A,America/St_Johns
YAZ,49.082222,-125.7725,80,-8.0,A,America/Vancouver
YBB,68.534444,-89.808056,56,-7.0,A,America/Edmonton
YBC,49.1325,-68.204444,71,-5.0,A,America/Toronto
YBG,48.330555,-70.996391,522,-5.0,A,America/Toronto
YBK,64.298889,-96.077778,59,-6.0,A,America/Winnipeg
YBL,49.950832,-125.270833,346,-8.0,A,America/Vancouver
